형태소,품사,분류,카운트
!,Punctuation,말랐는데.. 어쩜저리! 볼륨이있고~탄탄할까~~!춤도너무이쁘게잘춘다!,2
!,Punctuation,선미 무대 최고! 보통 밑바닥 앉는거 잘 안 하던데 풀로 춤 안 춰주는데 엄청 성의있네 우리 선미,1
!,Punctuation,선미의 역대급 걸크러쉬 본인등판 💜! 선미가 밝히는 워터밤 1500만뷰의 비밀 | SUNMI _ pporappippam(보라빛 밤) | 본인등판 | Look Me Up,1
!,Punctuation,어! 거기에 1:31에 약간 프듀에 나온 1000%만드신분이랑 닮았다,1
!,Punctuation,음색도 좋고! 퍼포도 좋고!,4
!!,Punctuation,"210,댄서 사랑해요!!왁",1
!!,Punctuation,"227,omg...soo thin!! She eating??",1
!!,Punctuation,"299,That’s so HOT !!",1
!!,Punctuation,"450,I'm in love with the guy with tattoo on his arm..omgg!!😍😍😍",1
!!,Punctuation,"502,선미 영상에서 왜 백댄서 덕질을 해~~ 백댄서 직캠같은 것두 아니구 선미 직캠인데!! 그냥 백댄서 인스타 가서 해~!!!",1
!!,Punctuation,55555555 ha ha I like here she’s so funny girl 😄 look so sexy!!😍,1
!!,Punctuation,"98,55555555 ha ha I like here she’s so funny girl 😄 look so sexy!!😍",1
!!,Punctuation,I'm in love with the guy with tattoo on his arm..omgg!!😍😍😍,1
!!,Punctuation,That’s so HOT !!,1
!!,Punctuation,omg...soo thin!! She eating??,1
!!,Punctuation,댄서 사랑해요!!왁,1
!!,Punctuation,선미 영상에서 왜 백댄서 덕질을 해~~ 백댄서 직캠같은 것두 아니구 선미 직캠인데!! 그냥 백댄서 인스타 가서 해~!!!,1
!!!,Punctuation,"164,Her tan male backup dancer is perfect and so sexy!!!",1
!!!,Punctuation,"265,Omg those back up dancers are hot!!!",1
!!!,Punctuation,"276,선미님 위에의상 구찌반팔티를 나시로 만드신듯!!!",1
!!!,Punctuation,Her tan male backup dancer is perfect and so sexy!!!,1
!!!,Punctuation,Omg those back up dancers are hot!!!,1
!!!,Punctuation,선미님 위에의상 구찌반팔티를 나시로 만드신듯!!!,1
!!!!!,Punctuation,"108,I thought only YG dancers that got looks and skills.. yet those 4 mens... 😍😍😍 and the girls also kill it!!!!!",1
!!!!!,Punctuation,I thought only YG dancers that got looks and skills.. yet those 4 mens... 😍😍😍 and the girls also kill it!!!!!,1
!!!!!!!,Punctuation,"239,멋있다 진짜!!!!!!!",1
!!!!!!!,Punctuation,멋있다 진짜!!!!!!!,1
!!!?!?!!!,Punctuation,"21,can sunmi and hyuna collab bcs im willing 2 be gay foR THEM!!!?!?!!!",1
!!!?!?!!!,Punctuation,can sunmi and hyuna collab bcs im willing 2 be gay foR THEM!!!?!?!!!,1
"""",Punctuation,"                  ㅠㅠㅠㅠㅠㅠㅠ""",1
"""",Punctuation,"105,""The only thing I can see of this hole video is, that water is splashing from every angle 😂🌊""",1
"""",Punctuation,"107,""Everyone is so talented and good looking, I don’t know who to focus on 😩""",1
"""",Punctuation,"20% the boys like""",1
"""",Punctuation,"20,""19:02 damn those hands. Im honestly not gonna be surprised if they're dating or smth, cause the chemistry sis, she's insane""",1
"""",Punctuation,"20:00 축축""",1
"""",Punctuation,"249,""우리선미 레전드,,,영상 💜""",1
"""",Punctuation,"275,""OMG Sunmi is so skinny wtf?!!! they overworked her sm, pls she needs rest""",1
"""",Punctuation,"31,""와 선미, 백댄서 몸매봐 가꿀려고 얼마나 노력했고 또 노력중일까""",1
"""",Punctuation,"38,""19:02 오후,, 손 크기 차이봐 :ㅁ""",1
"""",Punctuation,"405,""여러가지로 볼게 많은 무대네,, 물 뿌려주는 것도 한 몫한듯""",1
"""",Punctuation,"429,""Que pedo el consiento era puro baile sensual o cantar hay ana coqueteando con la cámara ta bien flaca jajaja, 🤣🤣🤣🤣🤣""",1
"""",Punctuation,"43,""18:00 , 18:02 , 18:27 the guy with green handkerchief is so cute and also his smile😍 he looks like an idol❤️❤️""",1
"""",Punctuation,"433,""My eyes got fixed on the male dancers, sorry sunmi""",1
"""",Punctuation,"442,""She’s gained some weight, she’s gorgeous as always""",1
"""",Punctuation,"453,""sunmi... sis... if you don’t want him, i’ll gladly take him off your hands lol""",1
"""",Punctuation,"470,""Pls eat more, I love you Sunmi but why they let Sunmi wear that short jeans without black short pant inside omg you are sexy Sunmi but I really care about you girl""",1
"""",Punctuation,"519,""선미님이 예쁘니까 좋아요 눌렀지,, 썸네일 혐이다 진짜""",1
"""",Punctuation,"535,""작년 여름 진주에 휘성이 왔을때 물뿌린다고 노래중에 """"물뿌리지마세요.감기걸려요.머리망가져요"""" 머라해서 물끄든데...보는사람들 인성안좋다며 ㅋ 진짜 조금 튀는정도 ㅋ 집에있는 옷에 직접 머리했다며 자랑하든데 성의 완전 없이와서 노래도 목 망가질까봐 고음 안 부르고 ㅜㅜ 완전비교된다""",1
"""",Punctuation,"584,""too skinny body, unhealth .chubby and power like beyonce gonna be great""",1
"""",Punctuation,"95,""Sorry Sunmi, but my intention here is to your backup boys. Joke. Great job Sunmi. 💕 and to the backup boys 😍😍""",1
"""",Punctuation,"And sunmi and her male-female dancers r attacking 😂 altogether""",1
"""",Punctuation,"Boobs""",1
"""",Punctuation,"I LOVE HER PERFORMANCE""",1
"""",Punctuation,"I LOVE U SUNMI""",1
"""",Punctuation,"REPLY""",1
"""",Punctuation,"Y know, the male dancer with the green material without the necklace is cute (have you seen him smile? ashjkll). Ngl he kinda looks like the actor who plays in hotel del luna""",1
"""",Punctuation,"it's the same one chaeyoung wore in the what is love photoshoot xD""",1
"""",Punctuation,"▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽""",1
"""",Punctuation,"가슴 큰애들이 입으니 좀 민망하던데""",1
"""",Punctuation,"관심사에 따라 보는게 참 달라지는구나..ㅋㅋ""",1
"""",Punctuation,"그리고댄서분들👍👍👍""",1
"""",Punctuation,"근데 썸네일가지고 뭐라하는사람은 뭐지 ..니들은 안불편한게뭐냐 과연 백댄서가 윗통까고있는 썸네일이였으면 바꿔달라는 사람이있을까싶네 ㅋ""",1
"""",Punctuation,"나는 알지롱~원더걸스 탈퇴 이유동♡""",1
"""",Punctuation,"다들 일상생활가능하신지""",1
"""",Punctuation,"댄서분 인스타:hyeon_ik""",1
"""",Punctuation,"무대 한 번 뛰면 몇키로씩 빠지겠다""",1
"""",Punctuation,"복근이ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ""",1
"""",Punctuation,"사람 홀리게하고ㅠㅠㅠ 이걸 몇번을 보는지 모르겠네""",1
"""",Punctuation,"살좀 쪄도 되는데""",1
"""",Punctuation,"선미님 너무 좋아요♡♡♡♡♡♡♡♡♡♡♡♡♡♡""",1
"""",Punctuation,"선미만 대박인게 아니라 댄서분들도 진짜 개멋지네 ㄷㄷ... 근무환경 개쩌는거보송""",1
"""",Punctuation,"아니 맨앞자리믄 다 여자야 엌ㅋㅋㅋㅋㅋㅋㅋ ㅁㅊ 나도 언니 가까이서보고싶다 ㅠㅠㅠㅠㅠㅠ""",1
"""",Punctuation,"옆에 웃고잇는 남자백댄서도 """,1
"""",Punctuation,"온라인게임같아""",1
"""",Punctuation,"이 영상이 너무도 """,1
"""",Punctuation,"이제야 보넼ㅋㅋㅋㅋㅋ""",1
"""",Punctuation,"적당히 해라""",1
"""",Punctuation,"팬서비스도 너무잘해준다""",1
"""",Punctuation,"팬서비스도 잘하는거 같고""",1
"""",Punctuation,"평가질 하지 말라면서 지들은 남자 평가함ㅋㅋㅋㅋㅋㅋㅋㅋ""",1
"""",Punctuation,"흔한 방송부의 생각""",1
"""",Punctuation,"💗""",1
"""""",Punctuation,"535,""작년 여름 진주에 휘성이 왔을때 물뿌린다고 노래중에 """"물뿌리지마세요.감기걸려요.머리망가져요"""" 머라해서 물끄든데...보는사람들 인성안좋다며 ㅋ 진짜 조금 튀는정도 ㅋ 집에있는 옷에 직접 머리했다며 자랑하든데 성의 완전 없이와서 노래도 목 망가질까봐 고음 안 부르고 ㅜㅜ 완전비교된다""",2
"""""",Punctuation,"박진영 (J.Y. Park) """"When We Disco (Duet with 선미)"""" MV Reaction Video",1
"""""",Punctuation,"작년 여름 진주에 휘성이 왔을때 물뿌린다고 노래중에 """"물뿌리지마세요.감기걸려요.머리망가져요"""" 머라해서 물끄든데...보는사람들 인성안좋다며 ㅋ 진짜 조금 튀는정도 ㅋ 집에있는 옷에 직접 머리했다며 자랑하든데 성의 완전 없이와서 노래도 목 망가질까봐 고음 안 부르고 ㅜㅜ 완전비교된다",2
#WODLA15,Hashtag,Royal Family | FRONTROW | World of Dance Los Angeles 2015 | #WODLA15,1
#WhoAreYou,Hashtag,Who’s the Hottie Next to Sunmi? Dancer Cha Hyunseung - Kwon Hyuksoo's #WhoAreYou Investigator Ep. 14,1
%%,Punctuation,구독해줄래%%,1
&,Punctuation,SUNMİ & CHA HYUNSEUNG (Backup Dancer) - Hyunseung's cute mistake & Sunmi and Hyunseung's 24 hours,2
&,Punctuation,"[SBS KPOP 스페셜] '날라리'로 컴백한 선미, 원더걸스 시절부터 솔로활동까지 12년 연대기 커리어 모음집.zip (feat.핑클&김완선)",1
',Punctuation,"104,sunmi's guy back up dancers just made me gayer",1
',Punctuation,"131,uff y'all are all over the back up dancers meanwhile me still being in love and in awe with gay queen Sunmi",1
',Punctuation,13:32 14:41 18:02 Those backup dancer's specially the one with tattoo 😍😍 is hot 🔥 af.,1
',Punctuation,"162,So people are complaining about Sunmi's sexiness but then start fangirling over her male back up dancers? Doubt standards at the best",1
',Punctuation,17:55 Everyone's talking about how cute the guy's smile is. I know why he's smiling here. Dude just got caressed by the queen y'all! You can see him grinning so big after😂😂😂,4
',Punctuation,"184,She's so beautiful ❤️❤️❤️",1
',Punctuation,"19:02 damn those hands. Im honestly not gonna be surprised if they're dating or smth, cause the chemistry sis, she's insane",2
',Punctuation,"20,""19:02 damn those hands. Im honestly not gonna be surprised if they're dating or smth, cause the chemistry sis, she's insane""",2
',Punctuation,"261,OMG she's 43 kg",1
',Punctuation,"289,@9:29 dancer dude standing up..Ya'll....He CUTE! XD...",1
',Punctuation,"34,""Y'll taking about the malevdancers but look at the female dancer with red handkerchief 🙄🙄🙄 she is damn hot she have a tattoo too",1
',Punctuation,"354,can't take my eyes off........sunmi.........so gorgeous and super sexy........my queen",1
',Punctuation,"412,This male dancers aren't letting me being gay for unnie😾",1
',Punctuation,"450,I'm in love with the guy with tattoo on his arm..omgg!!😍😍😍",1
',Punctuation,"528,""I'm sorry but I have to ask, Sunmi don't sing? It's CD right?""",3
',Punctuation,"552,The male backup dancers' six packs disturb me...  sorry I am a meat lover.",1
',Punctuation,"560,How can someone think that's pretty? It does not matter in what country she doesn't look healthy",2
',Punctuation,"565,This is too bisexual .. i can't stand it lmao",1
',Punctuation,"74,13:32 14:41 18:02 Those backup dancer's specially the one with tattoo 😍😍 is hot 🔥 af.",1
',Punctuation,"8,""that male dancer with tanned skin and tatto was HOT AF🌋 can't stop looking at him:"""" i hope he could being an actor or model :""""""""""",1
',Punctuation,"92,17:55 Everyone's talking about how cute the guy's smile is. I know why he's smiling here. Dude just got caressed by the queen y'all! You can see him grinning so big after😂😂😂",4
',Punctuation,@9:29 dancer dude standing up..Ya'll....He CUTE! XD...,1
',Punctuation,How can someone think that's pretty? It does not matter in what country she doesn't look healthy,2
',Punctuation,I'm in love with the guy with tattoo on his arm..omgg!!😍😍😍,1
',Punctuation,"I'm sorry but I have to ask, Sunmi don't sing? It's CD right?",3
',Punctuation,OMG she's 43 kg,1
',Punctuation,SUNMİ & CHA HYUNSEUNG (Backup Dancer) - Hyunseung's cute mistake & Sunmi and Hyunseung's 24 hours,2
',Punctuation,She's so beautiful ❤️❤️❤️,1
',Punctuation,So people are complaining about Sunmi's sexiness but then start fangirling over her male back up dancers? Doubt standards at the best,1
',Punctuation,The male backup dancers' six packs disturb me...  sorry I am a meat lover.,1
',Punctuation,This is too bisexual .. i can't stand it lmao,1
',Punctuation,This male dancers aren't letting me being gay for unnie😾,1
',Punctuation,Who’s the Hottie Next to Sunmi? Dancer Cha Hyunseung - Kwon Hyuksoo's #WhoAreYou Investigator Ep. 14,1
',Punctuation,Y'll taking about the malevdancers but look at the female dancer with red handkerchief 🙄🙄🙄 she is damn hot she have a tattoo too,1
',Punctuation,"[4K] Changmo's Killing Verse Live! Selfmade orange, BAND, PT remix, I always, Interlude, OMR ...",1
',Punctuation,"[4K] MAMAMOO's KILLING VOICE with perfect HARMONY/Egoistic, HIP, Dinga, AYA | Dingo Music",1
',Punctuation,"[SBS KPOP 스페셜] '날라리'로 컴백한 선미, 원더걸스 시절부터 솔로활동까지 12년 연대기 커리어 모음집.zip (feat.핑클&김완선)",2
',Punctuation,can't take my eyes off........sunmi.........so gorgeous and super sexy........my queen,1
',Punctuation,it's the same one chaeyoung wore in the what is love photoshoot xD,1
',Punctuation,"it's the same one chaeyoung wore in the what is love photoshoot xD""",1
',Punctuation,sunmi's guy back up dancers just made me gayer,1
',Punctuation,"that male dancer with tanned skin and tatto was HOT AF🌋 can't stop looking at him:"""" i hope he could being an actor or model :""""""""",1
',Punctuation,uff y'all are all over the back up dancers meanwhile me still being in love and in awe with gay queen Sunmi,1
',Punctuation,꿍',1
',Punctuation,예진',1
',Punctuation,🎧수현 Playlist🎧 천상의 목소리 '수현' 시즌 전곡 모음집 1탄 | 비긴어게인 모아듣기,2
(,Punctuation,1 month ago (edited),1
(,Punctuation,1 year ago (edited),10
(,Punctuation,11 months ago (edited),2
(,Punctuation,180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
(,Punctuation,18:01 백댄서분 씩 웃는거 존나 내 심장 원투쓰리훅훅 후드려 패심ㄹㅇ;;;;;; 개상큼하다......웃는게 저렇게 예쁘다뇨(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू),1
(,Punctuation,2 months ago (edited),1
(,Punctuation,2 years ago (edited),21
(,Punctuation,2018 AKARAKA : 선미 (SUNMI) - 주인공 (Heroine) + 보름달 (Full Moon) + 24시간이 모자라 (24 hours),4
(,Punctuation,3 months ago (edited),3
(,Punctuation,4 months ago (edited),2
(,Punctuation,"425,""마른몸에서 어떻게 저렇게 (노래부르는거,모든춤) 특히 일시적으로 반동주는걸 할 수 있죠? 힘이 어디서 나와요?",1
(,Punctuation,"50,""18:01 백댄서분 씩 웃는거 존나 내 심장 원투쓰리훅훅 후드려 패심ㄹㅇ;;;;;; 개상큼하다......웃는게 저렇게 예쁘다뇨(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू)",1
(,Punctuation,6 months ago (edited),2
(,Punctuation,7 months ago (edited),1
(,Punctuation,9 months ago (edited),1
(,Punctuation,Mix - 180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
(,Punctuation,SUNMİ & CHA HYUNSEUNG (Backup Dancer) - Hyunseung's cute mistake & Sunmi and Hyunseung's 24 hours,1
(,Punctuation,"Y know, the male dancer with the green material without the necklace is cute (have you seen him smile? ashjkll). Ngl he kinda looks like the actor who plays in hotel del luna",1
(,Punctuation,"Y know, the male dancer with the green material without the necklace is cute (have you seen him smile? ashjkll). Ngl he kinda looks like the actor who plays in hotel del luna""",1
(,Punctuation,"[SBS KPOP 스페셜] '날라리'로 컴백한 선미, 원더걸스 시절부터 솔로활동까지 12년 연대기 커리어 모음집.zip (feat.핑클&김완선)",1
(,Punctuation,[릴레이댄스] 선미(SUNMI) - 사이렌(Siren),2
(,Punctuation,[미야네캠] EP.7 : 사랑이 (너무) 넘치는 선미팀 (2편),2
(,Punctuation,▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
(,Punctuation,"▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽""",1
(,Punctuation,"마른몸에서 어떻게 저렇게 (노래부르는거,모든춤) 특히 일시적으로 반동주는걸 할 수 있죠? 힘이 어디서 나와요?",1
(,Punctuation,"박진영 (J.Y. Park) """"When We Disco (Duet with 선미)"""" MV Reaction Video",2
(,Punctuation,선미의 역대급 걸크러쉬 본인등판 💜! 선미가 밝히는 워터밤 1500만뷰의 비밀 | SUNMI _ pporappippam(보라빛 밤) | 본인등판 | Look Me Up,1
(?),Punctuation,"103,19:21 out of topic but those feets dancing in that bridge (?) ME",1
(?),Punctuation,19:21 out of topic but those feets dancing in that bridge (?) ME,1
),Punctuation,1 month ago (edited),1
),Punctuation,1 year ago (edited),10
),Punctuation,11 months ago (edited),2
),Punctuation,180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
),Punctuation,18:01 백댄서분 씩 웃는거 존나 내 심장 원투쓰리훅훅 후드려 패심ㄹㅇ;;;;;; 개상큼하다......웃는게 저렇게 예쁘다뇨(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू),1
),Punctuation,2 months ago (edited),1
),Punctuation,2 years ago (edited),21
),Punctuation,2018 AKARAKA : 선미 (SUNMI) - 주인공 (Heroine) + 보름달 (Full Moon) + 24시간이 모자라 (24 hours),4
),Punctuation,3 months ago (edited),3
),Punctuation,"342,What is the name of a male dancer?(Green cloth)",1
),Punctuation,4 months ago (edited),2
),Punctuation,"425,""마른몸에서 어떻게 저렇게 (노래부르는거,모든춤) 특히 일시적으로 반동주는걸 할 수 있죠? 힘이 어디서 나와요?",1
),Punctuation,"50,""18:01 백댄서분 씩 웃는거 존나 내 심장 원투쓰리훅훅 후드려 패심ㄹㅇ;;;;;; 개상큼하다......웃는게 저렇게 예쁘다뇨(ू˃̣̣̣̣̣̣︿˂̣̣̣̣̣̣ ू)",1
),Punctuation,6 months ago (edited),2
),Punctuation,7 months ago (edited),1
),Punctuation,9 months ago (edited),1
),Punctuation,Mix - 180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
),Punctuation,SUNMİ & CHA HYUNSEUNG (Backup Dancer) - Hyunseung's cute mistake & Sunmi and Hyunseung's 24 hours,1
),Punctuation,What is the name of a male dancer?(Green cloth),1
),Punctuation,"[SBS KPOP 스페셜] '날라리'로 컴백한 선미, 원더걸스 시절부터 솔로활동까지 12년 연대기 커리어 모음집.zip (feat.핑클&김완선)",1
),Punctuation,[릴레이댄스] 선미(SUNMI) - 사이렌(Siren),2
),Punctuation,[미야네캠] EP.7 : 사랑이 (너무) 넘치는 선미팀 (2편),2
),Punctuation,▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,1
),Punctuation,"▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽""",1
),Punctuation,"마른몸에서 어떻게 저렇게 (노래부르는거,모든춤) 특히 일시적으로 반동주는걸 할 수 있죠? 힘이 어디서 나와요?",1
),Punctuation,"박진영 (J.Y. Park) """"When We Disco (Duet with 선미)"""" MV Reaction Video",1
),Punctuation,선미의 역대급 걸크러쉬 본인등판 💜! 선미가 밝히는 워터밤 1500만뷰의 비밀 | SUNMI _ pporappippam(보라빛 밤) | 본인등판 | Look Me Up,1
")""""",Punctuation,"박진영 (J.Y. Park) """"When We Disco (Duet with 선미)"""" MV Reaction Video",1
).,Punctuation,"Y know, the male dancer with the green material without the necklace is cute (have you seen him smile? ashjkll). Ngl he kinda looks like the actor who plays in hotel del luna",1
).,Punctuation,"Y know, the male dancer with the green material without the necklace is cute (have you seen him smile? ashjkll). Ngl he kinda looks like the actor who plays in hotel del luna""",1
*,Punctuation,eatsleepJDM - WIZ*ONE,1
+,Punctuation,180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,3
+,Punctuation,2018 AKARAKA : 선미 (SUNMI) - 주인공 (Heroine) + 보름달 (Full Moon) + 24시간이 모자라 (24 hours),2
+,Punctuation,"301,태닝 백댄서분 남주혁+비",1
+,Punctuation,50+,1
+,Punctuation,Eos+,1
+,Punctuation,Mix - 180721 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,3
+,Punctuation,▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽,3
+,Punctuation,"▶ 선미(Sunmi) Ful ver. 가시나 + 24시간이 모자라 + 보름달 + 주인공 4K 직캠 by 비몽""",3
+,Punctuation,그리고 이렇게 카리스마+섹시포텐인 선미님이 무대 내려오면 귀여워지는 ㅠㅠ,2
+,Punctuation,태닝 백댄서분 남주혁+비,1
",",Punctuation,"10,1:54 he’s like “excuse me Sunmi why are you walking away we have to dance” 😂😂😂",1
",",Punctuation,"100,웃는거 개멋져요 언니ㅠㅜㅠ",1
",",Punctuation,"101,선미 허리 진짜 워너비",1
",",Punctuation,"102,백댄서 4명 다 잘생긴거 보소",1
",",Punctuation,"103,19:21 out of topic but those feets dancing in that bridge (?) ME",1
",",Punctuation,"104,sunmi's guy back up dancers just made me gayer",1
",",Punctuation,"105,""The only thing I can see of this hole video is, that water is splashing from every angle 😂🌊""",1
",",Punctuation,"106,선미님 ㅈㄴ멋쁨",1
",",Punctuation,"107,""Everyone is so talented and good looking, I don’t know who to focus on 😩""",1
",",Punctuation,"108,I thought only YG dancers that got looks and skills.. yet those 4 mens... 😍😍😍 and the girls also kill it!!!!!",1
",",Punctuation,"109,8:12 ❤️",1
",",Punctuation,"110,11:43 시발 이거다 이것이 바로 나의 유토피아",1
",",Punctuation,"112,바지가 좀 더 길엇으면 좋겟다",1
",",Punctuation,"113,""If Sunmi takes off her shirt too in a performance, it will be the next big trend within girl groups.""",1
",",Punctuation,"114,17:34 가시나",1
",",Punctuation,"116,只有宣美能这样的性感而不色情吧！他的那个舞伴我喜欢好久了 出道吧好不好！",1
",",Punctuation,"117,본인등판 보고 왔습니다 ㅋㅋㅋ",1
",",Punctuation,"118,선미 무대 최고! 보통 밑바닥 앉는거 잘 안 하던데 풀로 춤 안 춰주는데 엄청 성의있네 우리 선미",1
",",Punctuation,"119,여신......",1
",",Punctuation,"12,Sorry Sunmi 😂😂 my eyes get on male dancer 6 packs 😂",1
",",Punctuation,"120,18:25 😳",1
",",Punctuation,"121,남자댄서오진다",1
",",Punctuation,"122,와 이때 진짜 선미 인형",1
",",Punctuation,"123,차현승님 맞나요ㅠㅠㅠ진짜 완벽쓰..",1
",",Punctuation,"124,언니몸매진짜 탑이야탑......진짜ㅠㅠ",1
",",Punctuation,"125,아니 선미야 대체 이게 무슨일이냐...",1
",",Punctuation,"126,부럽다 뼈 얇고 선 예쁘고 하얘서 ㅅㅂ 나는 덩치커서 저렇게 안되는데",1
",",Punctuation,"127,저 옷 구찌 수영복이지만 구찌 홈페이지에는 티셔츠카테고리에 들어있다는 그 옷인가보다...예쁘다...",1
",",Punctuation,"128,남자 백댄서중에 한명 계속 막 웃는데 막 너무 설레는거 알아? 아니 웃는거 뭐 얼마나 별거라고 아 근데 웃는거 아무리 봐도 귀엽단 말이야",1
",",Punctuation,"129,아니 백댄서 분들 와 진짜ㅠㅠㅠㅠ와ㅠㅠㅠㅠ",1
",",Punctuation,"13,1:14 백번 돌려봤다... 여신이네...",1
",",Punctuation,"130,워터밤ㅠㅠ 나 저기 있었는데ㅠ 선미보러 가서 원없이 보고 옴ㅎㅎㅎ세젤예",1
",",Punctuation,"131,uff y'all are all over the back up dancers meanwhile me still being in love and in awe with gay queen Sunmi",1
",",Punctuation,"132,너무좋댜ㅎ",1
",",Punctuation,"133,태닝하신 댄서분 진짜 너무 죠아요",1
",",Punctuation,"134,dancer very handsome",1
",",Punctuation,"135,백댄서 섹시하다....",1
",",Punctuation,"136,6:08 남자 입틀막 ㅋㅋㅋㅋㅋㅋㅋ",1
",",Punctuation,"137,19:27 아니 백댄서 존나 잘생겼어 사이 좋아보여",1
",",Punctuation,"138,선미 진짜 너무 이쁘다 ㅜ.ㅜ",1
",",Punctuation,"139,진짜 너무이쁘다 이선미ㅠㅁㅠㅠㅠㅠㅠㅠㅠㅠ ㅠㅠㅠㅠ 머리가 미역이돼도 이뽀 무대하는내내 넘 행복해하는게 보여서 보는사람도 다 행복해져 💗💗💗💗",1
",",Punctuation,"14,ㅁㅊ피부 까만 남자 백댄서분 진짜 개섹시ㅠㅠㅠㅠㅠ코피터질뻔",1
",",Punctuation,"140,음색이 뇌쇠적",1
",",Punctuation,"141,하존나이쁘다",1
",",Punctuation,"142,구릿빛 문신 댄서분 진짜 레전드네",1
",",Punctuation,"143,썸넬 존나심하다 제발 신고당하길",1
",",Punctuation,"144,6:09 WTF😭😭",1
",",Punctuation,"145,옆구리에 문신 있는 여자 백댄서 분 개이뻐",1
",",Punctuation,"146,11:43 esto se va a descontar xD",1
",",Punctuation,"147,와 진ㅋ자 너무 멋잇다",1
",",Punctuation,"148,하.... 현승 댄서분 미쳤어 ㅠㅠㅠ 갸섹시해 ㅠㅠ",1
",",Punctuation,"149,왜 선미 무릎 얘긴 없는거지 ㅠㅠ 까진거 같은데 ㅠ",1
",",Punctuation,"15,19:21 와....뒤에 백댄서 살까맣고 문신있으신분 개존잘이다",1
",",Punctuation,"150,코로나...이후..언제 올지 모르는 축제...ㅠㅠ",1
",",Punctuation,"151,백댄서 웃는거 ㅠㅠ",1
