형태소,품사,분류,카운트
!,Punctuation,피나는 그 노력에 박수열창!,2
!,Punctuation,항상 웃는 모습 보기 좋아요~ 악플따위에 신경쓰지마시고 계속 무대에서 춤춰주세요!,1
!,Punctuation,힘내세요 응원합니다!  악플 다는 인간들 신경쓰기에는 인생은 너무 짧아요 ㅋ,1
!,Punctuation,📲Congratulations   !,1
!!,Punctuation,"1087,노래이름좀!!",1
!!,Punctuation,"12,춤 추시는 모습이 정말 아름다우세요! 언제나 응원하고 하고싶은 일 모두 잘 되시길 바라겠습니다 은솔님 짱!!",1
!!,Punctuation,"163,Dammmn!! 🔥🔥",1
!!,Punctuation,"230,wtb widescreen version!! What the heck? Get with the times man.😢",1
!!,Punctuation,"31,은솔님 최고예요!! ♥",1
!!,Punctuation,"431,Wyjdź za mnie!! ;D",1
!!,Punctuation,"49,너무 이뻐요!! 밤비노도 앨범활동도 했으면 좋겠다 ㅠ :)",1
!!,Punctuation,"494,she's so pretty!! espiecally on the thumbnail",1
!!,Punctuation,"607,발사~~!!!!! 단백질 많은거는 역시나 소고기!!  소고기 너무 비싸다 진짜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",1
!!,Punctuation,"62,""Eunsol has over 50 fancams with over 1 million. Not even Hani has this!! https://bodhispeaks.com/hadam-dismissed-from-bambino/       ",1
!!,Punctuation,"63,지금까지 본 영상중 가장 섹시하고도 마음이  들뜨는 영상입니다!! d☆ㅅ☆b",1
!!,Punctuation,"694,저런 남자분은 춤 안춰요? 왜 다 여자직캠밖에없어..? 난 벗은 남자가 보고싶다고!!",1
!!,Punctuation,"72,이것이 그 보창 멘탈깨는 영상 원본이군요!!",1
!!,Punctuation,"732,신고할게여~!^^그게 좋은 방법이죠!!그죵",1
!!,Punctuation,"75,너무 이쁘다 갓은솔!! 계속 흥해라",1
!!,Punctuation,"81,아악 너무좋아요!!",1
!!,Punctuation,"98,섰어요 언니 언니가 이뻐서 학교 수업듣다가 일어나서 소리치다 벌섰어요 악플 하나하나 읽지 말고 그영상 보고 왛거든요!! 힘내세요 화이팅♥",1
!!,Punctuation,Dammmn!! 🔥🔥,1
!!,Punctuation,Eunsol has over 50 fancams with over 1 million. Not even Hani has this!! https://bodhispeaks.com/hadam-dismissed-from-bambino/       ,1
!!,Punctuation,Wyjdź za mnie!! ;D,1
!!,Punctuation,she's so pretty!! espiecally on the thumbnail,1
!!,Punctuation,wtb widescreen version!! What the heck? Get with the times man.😢,1
!!,Punctuation,남순이랑 합방영상보고 왔는데 은솔이도 현실이랑 갭차이 크더라구요!!,2
!!,Punctuation,너무 이뻐요!! 밤비노도 앨범활동도 했으면 좋겠다 ㅠ :),1
!!,Punctuation,너무 이쁘다 갓은솔!! 계속 흥해라,1
!!,Punctuation,노래이름좀!!,1
!!,Punctuation,"님들? 님들이뭔데 성적인 발언쓰고날리야 ㅎ 다른사람이 니들보고 이렇게써주면좋겠나요? 아 님들은좋을수도 이미정신반쯤나가서없으니까 ㅋ 아 그리고 이렇게 말해줄사람도없겠네ㅋㅋ 없어서 이런발언하면좋아요?? 싫잖아요 님들이생각하기엔 이게좋을수도있다고생각하지만 그게달라요!!직접 당해서 기분좋은게아니면 하지마세요!! 나도기분나쁘면 상대도기분나쁘니까요 그러니 더이상 성적인발언나오지않기를바라며 여기서맞히도록할께요,,하지마요,!!꼭이여!!",3
!!,Punctuation,"님들? 님들이뭔데 성적인 발언쓰고날리야 ㅎ 다른사람이 니들보고 이렇게써주면좋겠나요? 아 님들은좋을수도 이미정신반쯤나가서없으니까 ㅋ 아 그리고 이렇게 말해줄사람도없겠네ㅋㅋ 없어서 이런발언하면좋아요?? 싫잖아요 님들이생각하기엔 이게좋을수도있다고생각하지만 그게달라요!!직접 당해서 기분좋은게아니면 하지마세요!! 나도기분나쁘면 상대도기분나쁘니까요 그러니 더이상 성적인발언나오지않기를바라며 여기서맞히도록할께요,,하지마요,!!꼭이여!!""",2
!!,Punctuation,발사~~!!!!! 단백질 많은거는 역시나 소고기!!  소고기 너무 비싸다 진짜 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1
!!,Punctuation,섰어요 언니 언니가 이뻐서 학교 수업듣다가 일어나서 소리치다 벌섰어요 악플 하나하나 읽지 말고 그영상 보고 왛거든요!! 힘내세요 화이팅♥,1
!!,Punctuation,신고할게여~!^^그게 좋은 방법이죠!!그죵,1
!!,Punctuation,아악 너무좋아요!!,1
!!,Punctuation,은솔님 최고예요!! ♥,1
!!,Punctuation,이것이 그 보창 멘탈깨는 영상 원본이군요!!,1
!!,Punctuation,저런 남자분은 춤 안춰요? 왜 다 여자직캠밖에없어..? 난 벗은 남자가 보고싶다고!!,1
!!,Punctuation,지금까지 본 영상중 가장 섹시하고도 마음이  들뜨는 영상입니다!! d☆ㅅ☆b,1
!!,Punctuation,춤 추시는 모습이 정말 아름다우세요! 언제나 응원하고 하고싶은 일 모두 잘 되시길 바라겠습니다 은솔님 짱!!,1
!!,Punctuation,현실에서 되게 조용하고 귀엽던데!!,2
!!!,Punctuation,"1002,은솔언니 이쁘고 하얗고 몸매도 갑이라서 모든 영상 챙겨봄ㅎㅎ 핳ㅎ하하 언니 싸랑해여 다이어트할때 특히 언니 영상 많이 봅니다!!!😍",1
!!!,Punctuation,"1010,유후!!!!언니 이뻐요!!! 걸크러쉬!!! 날 가져요엉엉ㅠㅜ",2
!!!,Punctuation,"1260,Sorry but i liked the song!!! what is the name of song????",1
!!!,Punctuation,"467,usando a magia de gandolf o branco. invoco os br. alahuamatan!!!",1
!!!,Punctuation,"706,좃타!!!",1
!!!,Punctuation,"980,자 보자 조회수가 1800만이니까 한번에 한사람당 3억마리.. 18000000x300000000=5400000000000000마리!!! 540조!",1
!!!,Punctuation,"996,Wow !!! Get sexy girl",1
!!!,Punctuation,Sorry but i liked the song!!! what is the name of song????,1
!!!,Punctuation,Wow !!! Get sexy girl,1
!!!,Punctuation,usando a magia de gandolf o branco. invoco os br. alahuamatan!!!,1
!!!,Punctuation,유후!!!!언니 이뻐요!!! 걸크러쉬!!! 날 가져요엉엉ㅠㅜ,2
!!!,Punctuation,은솔언니 이쁘고 하얗고 몸매도 갑이라서 모든 영상 챙겨봄ㅎㅎ 핳ㅎ하하 언니 싸랑해여 다이어트할때 특히 언니 영상 많이 봅니다!!!😍,1
!!!,Punctuation,자 보자 조회수가 1800만이니까 한번에 한사람당 3억마리.. 18000000x300000000=5400000000000000마리!!! 540조!,1
!!!,Punctuation,좃타!!!,1
!!!!,Punctuation,"1010,유후!!!!언니 이뻐요!!! 걸크러쉬!!! 날 가져요엉엉ㅠㅜ",1
!!!!,Punctuation,"1039,언니!!!+!!!!왘!!!!",1
!!!!,Punctuation,"1211,몸매.의상.미모.헤어 모든게완벽!!!!",1
!!!!,Punctuation,"1252,노래 이름 좀 제발 알려줘요!!!!",1
!!!!,Punctuation,"58,은솔아 사랑한다!!!!",1
!!!!,Punctuation,"6,EunSol diosa !!!!💙🔥💙🔥",1
!!!!,Punctuation,EunSol diosa !!!!💙🔥💙🔥,1
!!!!,Punctuation,"Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!",1
!!!!,Punctuation,노래 이름 좀 제발 알려줘요!!!!,1
!!!!,Punctuation,몸매.의상.미모.헤어 모든게완벽!!!!,1
!!!!,Punctuation,언니!!!+!!!!왘!!!!,1
!!!!,Punctuation,유후!!!!언니 이뻐요!!! 걸크러쉬!!! 날 가져요엉엉ㅠㅜ,1
!!!!,Punctuation,은솔아 사랑한다!!!!,1
!!!!!,Punctuation,1800만이네; 2000만 가즈아!!!!!,1
!!!!!,Punctuation,"388,1800만이네; 2000만 가즈아!!!!!",1
!!!!!!,Punctuation,"1373,너무 선정적이에요!!!!!!",1
!!!!!!,Punctuation,너무 선정적이에요!!!!!!,1
!!!!!!!,Punctuation,"995,WOW! so sexy korean girls are very hot and beautiful!!!!!!!",1
!!!!!!!,Punctuation,WOW! so sexy korean girls are very hot and beautiful!!!!!!!,1
!!!!!!!!,Punctuation,"1055,와아!!!!!!!!",1
!!!!!!!!,Punctuation,와아!!!!!!!!,1
"!!!!""",Punctuation,"2,""Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!""",1
!!!+!!!!,Punctuation,"1039,언니!!!+!!!!왘!!!!",1
!!!+!!!!,Punctuation,언니!!!+!!!!왘!!!!,1
"!!""",Punctuation,"님들? 님들이뭔데 성적인 발언쓰고날리야 ㅎ 다른사람이 니들보고 이렇게써주면좋겠나요? 아 님들은좋을수도 이미정신반쯤나가서없으니까 ㅋ 아 그리고 이렇게 말해줄사람도없겠네ㅋㅋ 없어서 이런발언하면좋아요?? 싫잖아요 님들이생각하기엔 이게좋을수도있다고생각하지만 그게달라요!!직접 당해서 기분좋은게아니면 하지마세요!! 나도기분나쁘면 상대도기분나쁘니까요 그러니 더이상 성적인발언나오지않기를바라며 여기서맞히도록할께요,,하지마요,!!꼭이여!!""",1
!!.,Punctuation,"366,Mmmmm!  GORGEOUS!!.",1
!!.,Punctuation,Mmmmm!  GORGEOUS!!.,1
"!""",Punctuation,"455,""Oh, my got!""",1
"!""",Punctuation,"642,""nice.....but i prefer Laysha, they have some own great songs too!""",1
"!""",Punctuation,"749,""An extremely beautiful young lady, super sexy, 🔥 🔥 🔥!""",1
"!""",Punctuation,"다시 돌어올수 밖에 없는 이유는 율동에 딱맞아떨어지는 치명적인 얼굴 표정!""",1
"!""",Punctuation,"우리댓글예쁘게써요!""",1
"!""",Punctuation,"제가 백만은 채울게요!""",1
!.,Punctuation,"304,""너무 잘 하시네요!.  구독, 댓글, 좋와요 하고 갑니다.",1
!.,Punctuation,"너무 잘 하시네요!.  구독, 댓글, 좋와요 하고 갑니다.",1
!?,Punctuation,"601,노래이름 뭔가요!?",1
!?,Punctuation,노래이름 뭔가요!?,1
!],Punctuation,[미쿠쨩 다이스키!],1
"!]""",Punctuation,"[미쿠쨩 다이스키!]""",1
"""",Punctuation,"(보창)오 오 간다 (샷건)쾅쾅쾅""",1
"""",Punctuation,"1,""Canon 70D, Sigma 120-300mm""",1
"""",Punctuation,"1033,""다른 걸그룹 영상에서 넘어와서 느끼는건데, 다른 걸그룹이 하면 걸레다 눈살 찌푸려진다 이러는데 은솔은 그런 의견이 적은 듯 다른점이라도 있나요 혹시""",1
"""",Punctuation,"1172,""비빔밥 잘하게 생겼노 """"밥비비노""""로 이름바꾸자""",1
"""",Punctuation,"1213,""오우,...이야.....언니멋져""",1
"""",Punctuation,"1310,""Porn is outlawed in south korea, so the more sexual the girls are, the more popular they get, it's pretty simple""",1
"""",Punctuation,"1335,""Korean singers most of them use the body to earn money why they look like the same appearance? Because of their plastic surgery face & make up. If they don't make up or do plastic surgery, it is terrible. Their dancing no different with night club girl""",1
"""",Punctuation,"1423,""얘네...오늘 처음봤는데 연예인, 가수라는 느낌보다 쇼걸,직업여성 느낌이 더 강하네""",1
"""",Punctuation,"183,""Thanks ,I'm gay now""",1
"""",Punctuation,"222,""She is so pretty, i'm confused""",1
"""",Punctuation,"3.은솔이 누군진 모르지만 칭찬하는 댓글""",1
"""",Punctuation,"326,""유명댄서들 만큼의 압도적인 댄스실력을 선보인 것도 아니고, 아이돌들처럼 노래와 춤을 같이 한것도 아니다. 하지만 예쁘고, 바람직한 의상을 입고 바람직한 춤을 추었다. 이거면 충분하지 않은가""",1
"""",Punctuation,"344,""아,,,, 유혹을 못참겠다""",1
"""",Punctuation,"384,""Who am i, where am i 😂😂""",1
"""",Punctuation,"4) Thanks me later""",1
"""",Punctuation,"40,""다음생은 이 언니로 태어나겠어요... 미래의 배우자가 부러운건 첨이양,,ㅜㅜ,, 아닠 배에 아무것도 없다니""",1
"""",Punctuation,"403,""her face, movements and body remind me of a robot?? Especially her movements.... especially when she jumps and turns her back... it’s really weird to watch idk""",1
"""",Punctuation,"430,""골반진짜유연하다나는한번돌리는데우두둑소리나는데....몸치같은놈 ,.....하나도저렇게유연했으연ㅜㅜ""",1
"""",Punctuation,"79,""After that I searched on Google """"best Korean pornstars""""😂😂""",1
"""",Punctuation,"83,""조회수 2,000만을 달려갑니다~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ""",1
"""",Punctuation,"85,""i'm straight, but i'm not straight for korean girls""",1
"""",Punctuation,"I am a straight girl but I must say I find her quite sexy as hell 0 _ 0 wow""",1
"""",Punctuation,"Nose como llegue haca :v vine buscando algo paranormal :v""",1
"""",Punctuation,"Omg, so sexy, I am homosexual since this videp""",1
"""",Punctuation,"REPLY""",1
"""",Punctuation,"Well... I've thought that she seems to be a girl who is glamorus. ㅋㅋ""",1
"""",Punctuation,"https://youtu.be/--UqWnEnfMs""",1
"""",Punctuation,"ㅕㅆ...ㄷ...ㅏㅏ""",1
"""",Punctuation,"歌手？""",1
"""",Punctuation,"流石に乾杯だわ！＿|￣|○ﾉｼ""",1
"""",Punctuation,"각오:은솔누나욕하면반성하기""",1
"""",Punctuation,"거기 껌짝말고 기다려 내가 방망이를 가지고가서 호되게 야단칠테니""",1
"""",Punctuation,"그래도 1400만명이랑 같이가니 따뜻하겠다 ㅎㅅㅎ""",1
"""",Punctuation,"나도 섰다""",1
"""",Punctuation,"난뭐했니((뱃살출렁""",1
"""",Punctuation,"남자에게 성적 대상화 되는 건 피할 수 없겠지만 (인기를 위해서 어쩔 수 없는 선택일 수 있지만...) 성희롱 수준 진짜 심각하다ㅠㅠㅠㅠㅠㅠㅠ 자제했으면 ...; 그리고 생각할거면 속으로만 생각하지 뭘 댓글에 다 싸질러 .. ㅠㅠ 욕망이 들어도 그걸 그따위 저급한 말로 표현하다니.. ㅠ""",1
"""",Punctuation,"누가봐도 성적으로 흥분해서 돈쳐바르라고 하는거같은데 """,1
"""",Punctuation,"매일 이거다""",1
"""",Punctuation,"멤버들이 걱정된다""",1
"""",Punctuation,"보고오신분""",1
"""",Punctuation,"사회악이다,정말  소속사들이 이런 악플들, 성희롱들 가만안뒀으면 좋겠다 성희롱과 악플 때문에  정신적으로 힘드셨을 은솔언니!  좋은일만있으셨으면 좋겠고 또 원하는일만 있으면좋겠습니다 파이팅 !언니 잘되길 빌게요!🙏🏻💕💕""",1
"""",Punctuation,"상ㄸ은 너무 행복하다능""",1
"""",Punctuation,"생각만해라""",1
"""",Punctuation,"악플말고 선플만 달아주세요""",1
"""",Punctuation,"악플보고 운거보고 너무 슬프더라요""",1
"""",Punctuation,"엄청 섹시하다""",1
"""",Punctuation,"여기서 논란거리 만들어서 싸우는것도 그렇고 걍 댓 못달게 하면 안되나""",1
"""",Punctuation,"오랜만에 내 우유좀 짜볼라""",1
"""",Punctuation,"은솔님 더러운 댓글보지말고 예쁘고 좋은 댓글만 기억해주세요ㅜㅜ""",1
"""",Punctuation,"이 영상 무단복제한거같아요""",1
"""",Punctuation,"이게 머라고 ..ㅋㅋ""",1
"""",Punctuation,"좋은 댓글만 씁시다""",1
"""",Punctuation,"추천도 눌러주심 고맙습니댜ㅠ""",1
"""",Punctuation,"항상힘내세요""",1
"""",Punctuation,"👌👌👌""",1
"""",Punctuation,"👏👏👏👏👏👏👏👏""",1
"""""",Punctuation," """"공연티비"""" 채널을 방문해 보시고 관심 있으시면 문의주세요. 즐거운 시간 되세요.",2
"""""",Punctuation," """"공연티비"""" 채널을 방문해 보시고 관심 있으시면 문의주세요. 즐거운 시간 되세요.""",2
"""""",Punctuation," """"공연티비""""는 당신을 스타로 만들어 드립니다.",4
"""""",Punctuation,"1148,""People say it's a double standard with girls dancing sexually and guys. While I agree with that to some extent, this one just goes too far. While boy member dances have like key points that are """"sexy"""" and the rest is them showing off their talents, this is just girls shaking their hips and showing off their boobs. I really like girl groups, just not this one /:""",2
"""""",Punctuation,"1172,""비빔밥 잘하게 생겼노 """"밥비비노""""로 이름바꾸자""",2
"""""",Punctuation,"1299,""k-pop nowadays doesn't need to have good songs, or good choreography to be popular..they just need some good body, good looking, n the courage to put on somekind of """"underwear"""" n dance erotically on stage..hmm..sounds easy but..how cheap..""",2
"""""",Punctuation,"18,""Ironic that Bambino became notorious & then the greatest because of Hadam's cover of """"New Thang"""" but this version by Eunsol has way more views than her. Eunsol was the equal of every idol.""",2
"""""",Punctuation,"2,""Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!""",2
"""""",Punctuation,"79,""After that I searched on Google """"best Korean pornstars""""😂😂""",2
"""""",Punctuation,"806,""Why does it say """"bambino"""" in the title? Wtf?""",2
"""""",Punctuation,"901,""우와... 댓글중에 """"몇명의 이상한""""분들이 가슴 만지고 싶다,안에 넣고싶다는등 이상한말 싸질르는데 뇌에 뭐가 들어있는지,,""",2
"""""",Punctuation,"After that I searched on Google """"best Korean pornstars""""😂😂",2
"""""",Punctuation,"Eunsol is back! She is now in a group called Tropical they released a single called """"Mwah"""" you should check it out!!!!",2
"""""",Punctuation,"Ironic that Bambino became notorious & then the greatest because of Hadam's cover of """"New Thang"""" but this version by Eunsol has way more views than her. Eunsol was the equal of every idol.",2
"""""",Punctuation,"People say it's a double standard with girls dancing sexually and guys. While I agree with that to some extent, this one just goes too far. While boy member dances have like key points that are """"sexy"""" and the rest is them showing off their talents, this is just girls shaking their hips and showing off their boobs. I really like girl groups, just not this one /:",2
"""""",Punctuation,"Why does it say """"bambino"""" in the title? Wtf?",2
"""""",Punctuation,"k-pop nowadays doesn't need to have good songs, or good choreography to be popular..they just need some good body, good looking, n the courage to put on somekind of """"underwear"""" n dance erotically on stage..hmm..sounds easy but..how cheap..",2
"""""",Punctuation,"보미가 """"새로운 은솔"""" 이라고 사람들이 말하는게 맞는지요?",2
"""""",Punctuation,"보미가 """"새로운 은솔"""" 이라고 사람들이 말하는게 맞는지요?""",2
"""""",Punctuation,"비빔밥 잘하게 생겼노 """"밥비비노""""로 이름바꾸자",2
"""""",Punctuation,"우와... 댓글중에 """"몇명의 이상한""""분들이 가슴 만지고 싶다,안에 넣고싶다는등 이상한말 싸질르는데 뇌에 뭐가 들어있는지,,",2
"""https://youtu.be/acNn0ASeIjc",URL,"821,""https://youtu.be/acNn0ASeIjc",1
"""https://youtu.be/lqP2yKA1BX8",URL,"717,""https://youtu.be/lqP2yKA1BX8",1
#0000ff,Hashtag,#0000ff,1
"$100,000",Number,"Steal This $100,000 Diamond, You Keep It",1
%,Punctuation,효진%,1
&,Punctuation,"1335,""Korean singers most of them use the body to earn money why they look like the same appearance? Because of their plastic surgery face & make up. If they don't make up or do plastic surgery, it is terrible. Their dancing no different with night club girl""",1
&,Punctuation,"18,""Ironic that Bambino became notorious & then the greatest because of Hadam's cover of """"New Thang"""" but this version by Eunsol has way more views than her. Eunsol was the equal of every idol.""",1
&,Punctuation,"393,What’s this group name&her name?",1
&,Punctuation,"Ironic that Bambino became notorious & then the greatest because of Hadam's cover of """"New Thang"""" but this version by Eunsol has way more views than her. Eunsol was the equal of every idol.",1
&,Punctuation,"Korean singers most of them use the body to earn money why they look like the same appearance? Because of their plastic surgery face & make up. If they don't make up or do plastic surgery, it is terrible. Their dancing no different with night club girl",1
&,Punctuation,Rylo Rodriguez – Walk ft. Lil Baby & 42 Dugg (Official Music Video),1
