,comment
10,"Blinks !!!! Vallan a votar por BLACKPINK en MWAVE para los premios más importantes de Corea , estan nominadas en 5 categorías , y solo vamos ganando en 2 categorías , tenemos hasta diciembre para votar , vamos blinks , hay que traer esos premios a casa !!! Vamos blinks !!!!"
11,"Lisa: With loren - I am soooo sad 
Rose: With loren -I am fighting with him
because he buy the wrong type of pink !!
Jennie: With loren-Don't doctor help me when i am lovesick ."
12,"Jennie no sexualizo , la sexualizaron que es otra cosa diferente , FACTS"
13,"In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )"
14,"Rosé : with a boy
Lisa : with a boy 
Jennie : with a boy
Jisoo : I'm Jisoo I'm ok"
15,VOTE BLACKPINK ON MAMA2020 BECAUSE THEY DESERVE TO WIN WE CAN DO IT BLINKS
16,"Everyone: ""This is the worst year ever""
BLACKPINK: ""Sorry but not for us""

STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)"
17,Creo que hablo por todos diciendo que extrañamos a la Jennie enfermera qwq
18,"“But we were born to be alone”

Blackpink: HERE I COME KICKN THE DOOR"
19,"Me: trying to get the Korean parts.
Older brother: You sound like a screeching parrot. 
Me: :("
20,"Everyone: ""This is the worst year ever""

BLACKPINK: ""Sorry but not for us""



STAN BLACKPINK FOR BETTER LIFE!"
21,Lets vote everyday on MAMA. They deserve to win artist of the year and song of the year. please please help to vote
22,"Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom 
Don't depend on others
It doesn't matter if pikks attend or not , that award will be added to their awards list"
23,"How you like that : BLACK
Ice Cream : PINK
LOVESICK GIRLS : BLACKPINK !"
24,"Popular opinion: Jennie did nothing wrong, haters knew this song was ABSOLUTELY PERFECT, but they had to find something to nitpick about, and the reason they picked was absolutely meaningless."
25,"BLACKPINK isn't just a group, they're an artistic reconstruction, the breeze you respire, a motive for existence, a moment for history books, a body of finest craftsmanship, a departure from this atrocious cosmos, and an embosom from a cherished one."
26,"So let me introduce them to who is still confused who's who-
Jisoo: The most beautiful one, the visual
Jennie : The most attractive one, charming face
Rose: The most gorgeous one, the princess"
27,"• The first act in KPOP to get a 1B in debut;
• the first group of KPOP to get 1b; 
• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)"
28,When you realise they all died in the mv Jennie died cause of an car accident Lisa jumped from a rooftop Rosé drowned in the bathtub and jisoo drowned in the pool
29,it’s a privilege to exist at the same time as blackpink
30,"I wish when Blackpink comeback again, please makes Rosé with her black hair:("
31,"‼️ATTENTION TO ALL BLINKS AROUND THE WORLD‼️‼️

-MAMA's VOTING ALREADY BEGIN

-GO VOTE BLACKPINK IN ALL CATEGORIES THAT HAVE BLACKPINK IN IT

-DONT BE LAZY, I KNOW, WE KNOW WE CAN DO IT"
32,Vote for BLACKPINK in MAMA guys
33,Let’s make every MV reaches 1 Billion
34,"In this era everybody shines, Not only one"
35,VOTE AT MAMA BLINKS! BLACKPINK IS NOMINATED. THEY MIGHT PERFORM THERE.
36,"“I’ve become numb to crying” 
that was so true. but Blackpink came and they were my light in the dark."
37,"Goals:
300m Str34ms and 11m like.
Can we do blinks?"
38,my Dad said they’re gorgeous and that Rose is cute
39,"10 million okey 
20 million okey
30 million okey
40 million okey"
40,"The most meaningful and touching song ever
The most ethereal music video ever
The most heart warming lyrics, rhythm and melody ever
The most enjoyable choreography ever"
41,"i just gotta say that everyone talks about how rude and selfish blinks are.. but when i was a new fan, and i commented on their videos or posts asking questions, blinks were sooooo helpful and sweet about it. but as soon as i commented once on a bts video asking who one of them was, all i got was hate for “not knowing legends”. i’m not sending hate to bts or anything, i just find it ironic.. i’m really glad i joined this fandom tho"
42,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up
43,"Guys English isn’t my native language, can you tell me how to pronounce this song? I’ve been pronouncing it soty"
44,"Haters: I hate BLACKPINK
Jisoo: that's a pity"
45,This song is just so refreshing to the ears it's not like their other songs that has a lot of beats to it
46,"❗ATTENTION BLINKS❗

HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner)

STREAM 🙌 Everyone can help, together we are strong. Blinks fighting!"
47,THE PART OF JISOO IS ART-
48,"I'm not blink, but I'm not sure after seeing this song!"
49,this is actually the most beautiful song of blackpink. Not my favorite or the coolest or the sadest or the song I like dancing on the most but idk the most touching. And everytime I watch it even more moved the MV is so beautiful omg
50,Rose’s acting is honestly so incredible for me...the way she cried in the bathup...
51,There's a think missing in my life. That's Lisa's wardrobe.
52,"Who's watching now in halloween?
👇"
53,"Jennie: “A prince not even on my list”

Me: laughing in closeted lesbian"
54,JISOO IS THE QUEEN 👑👑👑OF 2020 GO SEARCH ON GOOGLE ALSO
55,"this music video has everything; the visuals, the aesthetics, the acting, etc.. and ofc the song sounds nostalgic"
56,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!"
57,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.
58,"Who else wants this to get 500 m before 2020 ends?
👇💕💕"
59,"Blackpink:
2016-
Boombayah
Whistle"
60,"they dragged irene for reading a book, mina and jihyo for being in a soccer team, naeun for having a phone case that said “girls can do anything”, joy for wearing a feminist shirt, aisha for being tall, jennie for wearing a nurse outfit which isn’t even inappropriate. misogyny 💀"
61,LAS BLACKPINK SIEMPRE HACEN ARTES SON ALTAS DIOSAS
62,"1 Million : listo
10 Millones : listo
20 Millones : listo
30 Millones : listo"
63,
